RId,RName,FId,FName,CId,CName
2022001,Ravi,33206,Monica,55001,"LA for AI"
2022001,Ravi,33002,PAWAN,55006,"ADV ML"
2022001,Ravi,33001,Shankar,55008,"BASIC ALGO"
2022002,Hari,33003,Nilesh,55002,"LA for AI"
2022002,Hari,33002,PAWAN,55003,"LA for ML"
2022002,Hari,33002,PAWAN,55006,"ADV ML"
2022002,Hari,33105,Harsh,55011,"BASICS ML"
2022003,shami,33002,PAWAN,55003,"LA for ML"
2022003,shami,33206,Monica,55004,"ADV AI"
2022003,shami,33207,Tison,55010,"BASIC ALGO"
2022104,John,33206,Monica,55001,"LA for AI"
2022104,John,33003,Nilesh,55005,"ADV AI"
2022104,John,33207,Tison,55010,"BASIC ALGO"
2022105,Viraj,33206,Monica,55001,"LA for AI"
2022105,Viraj,33002,PAWAN,55006,"ADV ML"
2022105,Viraj,33001,Shankar,55008,"BASIC ALGO"
2022206,Raj,33206,Monica,55004,"ADV AI"
2022206,Raj,33002,PAWAN,55006,"ADV ML"
2022206,Raj,33207,Tison,55009,"ADV ALGO"
2022207,Mike,33003,Nilesh,55002,"LA for AI"
2022207,Mike,33002,PAWAN,55003,"LA for ML"
2022207,Mike,33001,Shankar,55007,"ADV ALGO"
2022308,Munna,33206,Monica,55012,DSA
2022308,Munna,33206,Monica,55013,C++
2022308,Munna,33105,Harsh,55015,OS
2022309,Michel,33206,Monica,55012,DSA
2022309,Michel,33105,Harsh,55014,CN
2022309,Michel,33105,Harsh,55015,OS
2022310,JACK,33206,Monica,55013,C++
